B0030;109;10999999;;
B0050;201;20199999;;
B0050;2800;28019999;T;
B0060;203;20399999;;
B0060;2803;28039999;T;
B0070;205;20599999;;
B0070;2805;28059999;;
B0070;2905;29059999;T;
B0080;206;20799999;;
B0080;2807;28079999;;
B0080;2906;29079999;T;
B0090;208;20899999;;
B0090;2808;28089999;T;
B0090;2908;29089999;T;
B0110;237;23799999;;
B0130;211;21299999;;
B0130;2811;28129999;;
B0130;2812;28129999;T;
B0130;2911;29119999;;
B0140;213;21499999;;
B0140;2813;28139999;T;
B0150;215;21599999;;
B0150;2815;28159999;T;
B0160;210;21099999;;
B0160;218;21899999;;
B0160;2810;28109999;;
B0160;2818;28189999;T;
B0160;2910;29109999;T;
B0180;238;23899999;;
B0200;261;26199999;;
B0200;266;26699999;;
B0200;2961;29619999;;
B0200;2966;29669999;;
B0210;267;26899999;;
B0210;2967;29689999;;
B0220;271;27299999;;
B0220;27682;27682999;;
B0220;2971;29729999;;
B0230;274;27499999;;
B0230;27684;27684999;;
B0230;2974;29749999;;
B0240;270;27099999;;
B0240;275;27599999;;
B0240;2761;27619999;;
B0240;27685;27685999;;
B0240;27688;27688999;;
B0240;2970;29709999;;
B0240;2975;29759999;T;
B0240;2976;29769999;;
B0280;30;32999999;;
B0280;391;39299999;T;
B0290;33;33999999;;
B0290;393;39399999;T;
B0300;34;34999999;;
B0300;394;39499999;T;
B0310;35;35999999;;
B0310;395;39599999;T;
B0320;37;37999999;;
B0320;397;39799999;T;
B0340;4090;40919999;;
B0360;411;41199999;;
B0360;413;41399999;;
B0360;416;41899999;;
B0360;491;49199999;T;
B0370;400;40299999;;
B0370;4096;40989999;;
B0370;422;42299999;;
B0370;425;42599999;;
B0370;4287;42879999;;
B0370;431;43199999;;
B0370;437;43799999;;
B0370;4387;43879999;;
B0370;440;44199999;;
B0370;443;44499999;;
B0370;4452;44529999;;
B0370;4456;44569999;;
B0370;44563;44563999;;
B0370;44581;44583999;;
B0370;44586;44586999;;
B0370;4487;44879999;;
B0370;451;45199999;;
B0370;455;45599999;;
B0370;4561;45619999;;
B0370;4563;45649999;;
B0370;4566;45679999;;
B0370;458;45899999;;
B0370;460;46099999;;
B0370;462;46299999;;
B0370;465;46599999;;
B0370;467;46799999;;
B0370;4687;46879999;;
B0370;470;47199999;;
B0370;478;47899999;;
B0370;495;49699999;;
B0370;496;49699999;T;
B0380;4562;45629999;;
B0400;502;50299999;;
B0410;500;50199999;;
B0410;503;50899999;;
B0410;59;59999999;T;
B0430;510;51299999;;
B0430;514;51799999;;
B0430;5187;51879999;;
B0430;519;51999999;;
B0430;58;58999999;;
B0440;53;54999999;;
B0455;486;48699999;T;
B0480;481;48199999;;
B0500;169;16999999;;
B0520;476;47699999;;
B1040;101;10199999;;
B1040;108;10899999;;
B1050;1013;10139999;;
B1070;104;10499999;;
B1090;105;10599999;;
B1130;1061;10619999;;
B1140;1063;10639999;;
B1150;1062;10629999;;
B1150;1064;10649999;;
B1160;1068;10689999;;
B1180;11;11999999;;
B1180;88;89999999;;
B1200;12;12999999;;
B1200;6;79999999;;
B1220;13;13999999;;
B1240;14;14999999;;
B1280;150;15199999;;
B1300;153;15399999;;
B1300;155;15899999;;
B1340;161;16199999;;
B1340;16880;16881999;;
B1360;163;16399999;;
B1360;164;16499999;;
B1360;16883;16883999;;
B1360;16884;16884999;;
B1380;510;51299999;;
B1380;514;51799999;;
B1380;5186;51869999;;
B1380;519;51999999;;
B1380;58;58999999;;
B1400;160;16099999;;
B1400;165;16699999;;
B1400;1675;16759999;;
B1400;1681;16819999;;
B1400;1685;16859999;;
B1400;1687;16879999;;
B1400;16885;16885999;;
B1400;16887;16888999;;
B1400;17;17999999;;
B1400;426;42699999;;
B1400;451;45199999;;
B1400;455;45599999;;
B1400;4561;45619999;;
B1400;4563;45649999;;
B1400;4566;45679999;;
B1400;458;45899999;;
B1420;4190;41919999;;
B1440;400;40399999;;
B1440;4081;40819999;;
B1440;40881;40881999;;
B1460;421;42499999;;
B1460;427;42899999;;
B1460;4282;42829999;;
